Index,PortNames,DistinctLatLong,TooVague,Sea,IndigenousName,Unfindable,NotableFind,Notes,
882,HAMPTON ROAD,"37.0229809,-76.3626701",,,,,,,
883,HAMPTON ROAD (VIRGINIA),"37.0229809,-76.3626701",,,,,,,
884,HAMPTON ROAD VIRGINIA,"37.0229809,-76.3626701",,,,,,,
885,"HAMPTON ROAD, VIRGINIA","37.0229809,-76.3626701",,,,,,,
886,CAPE ST VINCENT,"37.0309396,-8.9911323",,,,,,,
887,"Portugal, port unspecified","40.122676,-8.014019",,,,,,,
888,Portugal,"40.122676,-8.014019",,,,,,,
889,YORK IN VIRGINIA,"37.2359335,-76.5859411",,,,,,,
890,York River,"37.247641,-76.3912217",,Y,,,,,
891,VILLA FRANCA,"37.7062807,-25.4493348",,,,,,,
892,Upper James River,"37.7357765,-78.7889952",,Y,,,,,
893,CAPE DELGADA,"37.7448541,-25.6961022",,,,,,,
894,ST MICHAELS,"37.8070012,-25.6354",,,,,,,
895,"ST MICHAELS, AZORES","37.8070012,-25.6354",,,,,,,
896,VIRGINIA,"37.9819846,-82.7898388",,,,,,,
897,"Virginia, port unspecified","37.9819846,-82.7898388",,,,,,,
898,Virginia,"37.9819846,-82.7898388",,,,,,,
899,Mississippi,"37.9894369,-101.219695",,,,,,,
900,Rappahannock,"38.1969614,-77.7527351",,,,,,,
901,CHESAPEAK,"38.2336313,-77.2215668",,Y,,,,,
902,CHESAPEAKE,"38.2336313,-77.2215668",,Y,,,,,
903,Patuxent,"38.2758335,-76.4539536",,,,,,,
904,Korea,"38.30536,127.457397",Y,,,,,,
905,AZORES,"38.3215454,-29.2647552",,,,,,,
906,AZORES AND BACK,"38.3215454,-29.2647552",,,,,,,
907,CRUISE TO AZORES,"38.3215454,-29.2647552",,,,,,,
908,FAYAL,"38.5795981,-28.7867321",,,,,,,
909,FAYAL ROAD AZORES,"38.5795981,-28.7867321",,,,,,,
910,"FAYAL, AZORES","38.5795981,-28.7867321",,,,,,,
911,South Potomac,"38.6548103,-77.0487809",,Y,,,,,
912,CRUISING OFF TAGUS,"38.7436214,-9.1953084",,,,,,,
913,CRUISING TO LISBON,"38.7436214,-9.1953084",,,,,,,
914,"FORT ST JULIAN, LISBON","38.7436214,-9.1953084",,,,,,,
915,LISBON,"38.7436214,-9.1953084",,,,,,,
916,Lisbon,"38.7436214,-9.1953084",,,,,,,
917,RIVER TAGUS (LISBON),"38.7436214,-9.1953084",,,,,,,
918,TAGUS,"38.7436214,-9.1953084",,,,,,,
919,TAGUS LISBON,"38.7436214,-9.1953084",,,,,,,
920,"Maryland, port unspecified","38.7994389,-78.3607215",,,,,,,
921,CAPE HENLOPEN,"38.8031669,-75.1034017",,,,,,,
922,Potomac river,"38.8119249,-77.9917175",,Y,,,,,
923,Annapolis,"38.9724676,-76.5222469",,,,,,,
924,North Potomac,"39.0983632,-77.2485659",,,,,,,
925,DELAWARE,"39.1439026,-75.9484341",,,,,,,
926,OFF DELAWARE,"39.1439026,-75.9484341",,,,,,,
927,"CAGLIARI, SARDINIA","39.1694143,8.8126972",,,,,,,
928,BALTIMORE HARBOUR,"39.2846853,-76.6907079",,,,,,,
929,CORVO,"39.6981076,-31.1231092",,,,,,,
930,peking,"39.938545,116.1165956",,,,,,,
931,Barabalemo,"4.344219, 6.704223",,,,,,,
932,Fockey,"4.3841666,6.9887238",,,,,,,
933,Bonny,"4.4182971,7.1499533",,,,,,,
934,Tabou,"4.4251757,-7.3734357",,,,,,,
935,New Calabar,"4.4983134,6.9874146",,,,,,,
936,Andony,"4.5105757,7.3336098",,,,,,,
937,River del Rey,"4.527424,8.723387",,Y,,,,,
938,Grand Sestos,"4.5700161,-8.2254179",,,,,,,
939,DIX COVE,"4.7981604,-1.9536402",,,,,,,
940,DIXCOVE,"4.7981604,-1.9536402",,,,,,,
941,Dixcove,"4.7981604,-1.9536402",,,,,,,
942,Axim,"4.8674294,-2.2481311",,,,,,,
943,AXIM FORT,"4.8680365,-2.2465424",,,,,,,
944,Cayenne,"4.9196907,-52.3289646",,,,,,,
945,Sekondi,"4.9350699,-1.778584",,,,,,,
946,Cumingsberg,"4.9396717,-61.202411",,,,,,,
947,OFFSHORE GUYANA,"4.9396717,-61.202411",Y,Y,,,,,
948,Sassandra,"4.9497385,-6.0973907",,,,,,,
949,Calabar,"4.9746178,8.3052773",,,,,,,
950,Calabary,"4.9746178,8.3052773",,,,,,,
951,Apollonia,"4.987141,-2.592135",,,,,,,
952,CAPE APPALONIA,"4.987141,-2.592135",,,,,,,
953,Settra Kru,"4.9977388,-8.8967122",,,,,,,
954,"Bight of Benin, port unspecified","4.9999998,2.0912238",Y,Y,,,,,
955,Costa da Mina,"4.9999998,2.0912238",,,,,,,
956,Philadelphia,"40.0024133,-75.2584537",,,,,,,
957,"Spain, port unspecified","40.289168,-3.445929",Y,,,,,,
958,Spain,"40.289168,-3.445929",Y,,,,,,
959,Old Spain,"40.289168,-3.445929",Y,,,,,,
960,CRUISING OFF SANDY HOOK,"40.4405726,-74.0323305",,,,,,,
961,SANDY HOOK,"40.4405726,-74.0323305",,,,,,,
962,SANDY HOOK (NEW YORK),"40.4405726,-74.0323305",,,,,,,
963,SANDY POINT (NEW YORK),"40.4405726,-74.0323305",,,,,,,
964,STATEN ISLAND,"40.5645843,-74.2170296",,,,,,,
965,NEW YORK,"40.6971494,-74.2598637",,,,,,,
966,New York,"40.6971494,-74.2598637",,,,,,,
967,NEW YORK (STATTEN ISLAND),"40.6971494,-74.2598637",,,,,,,
968,New York,"40.6971494,-74.2598637",,,,,,,
969,New-York,"40.6971494,-74.2598637",,,,,,,
970,EAST RIVER,"40.7531337,-73.9708772",,Y,,,,,
971,LONG ISLAND,"40.8507469,-73.5108497",,,,,,,
972,OPORTO,"41.1621376,-8.6570588",,,,,,,
973,NANTUCKET,"41.3164957,-70.2117135",,,,,,,
974,NANTUSKET,"41.3164957,-70.2117135",,,,,,,
975,NEW LONDON,"41.3317426,-72.1269296",,,,,,,
976,"NEW LONDON, CONNECTICUT","41.3317426,-72.1269296",,,,,,,
977,NEWPORT RHODE ISLAND,"41.4860822,-71.359775",,,,,,,
978,RHODE ISLAND,"41.5569753,-71.7787771",,,,,,,
979,"Rhode Island, port unspecified","41.5569753,-71.7787771",,,,,,,
980,CAPE COD,"41.798311,-70.5889717",,,,,,,
981,"Massachusetts, port unspecified","42.0314408,-72.8072249",,,,,,,
982,NANTASKET,"42.2917654,-70.8832662",,,,,,,
983,BOSTON,"42.3142643,-71.1107091",,,,,,,
984,Boston,"42.3142643,-71.1107091",,,,,,,
985,BOSTON (CRUISING),"42.3142643,-71.1107091",,,,,,,
986,SPECTACLE ISLAND (BOSTON),"42.3238265,-70.9913477",,,,,,,
987,ELBA,"42.7902345,10.2031026",,,,,,,
988,Galicia,"42.7944347,-9.1414502",,,,,,,
989,CAPE CORSE CASTLE,"5.1036663,-1.2431686",,,,,,Cape Coast Castle,
990,CAPE FINNISTER,"42.8999241,-9.2870221",,,,,,,
991,GULF OF MAINE,"42.9449956,-69.5060595",,Y,,,,,
992,Portsmouth (NH),"43.0566242,-70.8106071",,,,,,,
993,Piscataqua,"43.1051614,-70.8405702",,,,,,,
994,Bilbao,"43.2633222,-2.9511169",,,,,,,
995,La Coruna,"43.361904,-8.4302362",,,,,,,
996,Bayonne,"43.4843941,-1.4961697",,,,,,,
997,FERRO,"43.491078,-8.2369331",,,,,,,
998,FERROL HARBOUR,"43.491078,-8.2369331",,,,,,,
999,FERROL HARBOUR - CRUISING THE WESTERN APPROACHES,"43.491078,-8.2369331",,,,,,,
1000,LEGHORN,"43.5395445,10.2901788",,,,,,,
1001,TOWARDS LEGHORN,"43.5395445,10.2901788",,,,,,,
1002,SHELBURNE HARBOUR,"43.7689952,-65.3368944",,,,,,,
1003,SABLE ISLAND (NEWFOUNDLAND),"43.971145,-60.0757947",,,,,,,
1004,NOVA SCOTIA,"44.0507175,-65.1192413",,,,,,,
1005,WOLF ISLAND,"44.1670706,-76.4167597",,,,,,,
1006,New England,"44.1833416,-72.554567",Y,,,,,,
1007,CAPE LAHABE,"44.1970066,-64.3775645",,,,,,,
1008,TOWARDS GENOA,"44.4469562,8.8206211",,,,,,,
1009,CAPE SAMBROUGH,"44.4712077,-63.6209882",,,,,,,
1010,PRINCESS ISLAND (NR ST THOMAS),"44.4937446,-76.0396114",,,,,,,
1011,BARNSTABLE BAY,"44.5602136,-79.3023235",,,,,,,
1012,CHIBUCTO HARBOUR (HALIFAX),"44.6461675,-63.7031084",,,,,,,
1013,HAILFAX,"44.6461675,-63.7031084",,,,,,,
1014,HALIFAX,"44.6461675,-63.7031084",,,,,,,
1015,HALIFAX (CHABUKTA HARBOUR),"44.6461675,-63.7031084",,,,,,,
1016,HALIFAX (CHIBUCTO HARBOUR),"44.6461675,-63.7031084",,,,,,,
1017,HALIFAX (NF),"44.6461675,-63.7031084",,,,,,,
1018,Bordeaux,"44.8637226,-0.6212461",,,,,,,
1019,CRUISING OFF GRAND BANKS,"44.9999991,-53.0087762",,,,,,,
1020,OFF GRAND BANKS,"44.9999991,-53.0087762",,,,,,,
1021,POUILLAC,"45.1990006,-0.7900886",,,,,,,
1022,BAY OF BISCAY (CRUISING),"45.5675229,-6.7219942",,,,,,,
1023,BISCAY,"45.5675229,-6.7219942",,,,,,,
1024,CRUISING BAY BISCAY,"45.5675229,-6.7219942",,,,,,,
1025,LOUISBOROUGH (HALIFAX),"45.9398185,-59.9959187",,,,,,,
1026,LOUISBOURG,"45.9398185,-59.9959187",,,,,,,
1027,LOUISBOURG NOVA SCOTIA,"45.9398185,-59.9959187",,,,,,,
1028,AIX ROAD,"46.0167651,-1.1755391",,,,,,,
1029,BASQUE ROAD,"46.0167651,-1.1755391",,,,,,,
1030,CAPE BRETON,"46.0308082,-60.5763739",,,,,,,
1031,"France, port unspecified","46.8423986,2.3732133",Y,,,,,,
1032,France,"46.8423986,2.3732133",Y,,,,,,
1033,LA ROCHELLE,"46.1620506,-1.2113662",,,,,,,
1034,La Rochelle,"46.1620506,-1.2113662",,,,,,,
1035,QUEBEC,"46.8562825,-71.4821171",,,,,,,
1036,ST LAWRENCE,"46.9038636,-55.4286513",,,,,,,
1037,ST LAWRENCE NEW FOUNDLAND,"46.9038636,-55.4286513",,,,,,,
1038,St. Lawrence,"46.9038636,-55.4286513",,,,,,,
1039,St. Lawrence,"46.9038636,-55.4286513",,,,,,,
1040,"FERMOUSE, NF","46.9743193,-52.9626328",,,,,,,
1041,"AQUOFORT HARBOUR, NEWFOUNDLAND","47.0132767,-52.959768",,,,,,,
1042,Nantes,"47.2382006,-1.630267",,,,,,,
1043,PLACENTIA,"47.2707615,-53.9976545",,,,,,,
1044,PLACENTIA BAY NEWFOUNDLAND,"47.2707615,-53.9976545",,,,,,,
1045,PLACENTIA HARBOUR,"47.2707615,-53.9976545",,,,,,,
1046,PLACENTIA ROAD,"47.2707615,-53.9976545",,,,,,,
1047,Saint-Nazaire,"47.2769511,-2.2742371",,,,,,,
1048,JOHN HARBOUR (NEWFOUNDLAND),"47.4818257,-52.9681259",,,,,,,
1049,ST JOHN,"17.1255124,-61.8536711",,,,,,,
1050,ST JOHN NEWFOUNDLAND,"47.4818257,-52.9681259",,,,,,,
1051,ST JOHN'S HARBOUR NEWFOUNDLAND,"47.4818257,-52.9681259",,,,,,,
1052,ST JOHN'S NEWFOUNDLAND,"47.4818257,-52.9681259",,,,,,,
1053,ST JOHNS (NEWFOUNDLAND),"47.4818257,-52.9681259",,,,,,,
1054,ST JOHNS (NF),"47.4818257,-52.9681259",,,,,,,
1055,ST JOHNS HARBOUR,"47.4818257,-52.9681259",,,,,,,
1056,ST JOHNS HARBOUR (NEWFOUNDLAND),"47.4818257,-52.9681259",,,,,,,
1057,ST JOHNS NEWFOUNDLAND,"47.4818257,-52.9681259",,,,,,,
1058,ST JOHNS NEWFOUNDLAND (CRUISE OF GRAND BANKS),"47.4818257,-52.9681259",,,,,,,
1059,ST JOHNS NF,"47.4818257,-52.9681259",,,,,,,
1060,"ST JOHNS, NEWFOUNDLAND","47.4818257,-52.9681259",,,,,,,
1061,"ST JOHNS, NF","47.4818257,-52.9681259",,,,,,,
1062,"ST. JOHNS, NEWFOUNDLAND","47.4818257,-52.9681259",,,,,,,
1063,CAPE SPEAR (NEWFOUNDLAND),"47.5166658,-52.6421095",,,,,,,
1064,BELLE ISLAND,"47.6262274,-52.9764775",,,,,,,
1065,CAPE RAY (NEWFOUNDLAND),"47.6378511,-59.2937622",,,,,,,
1066,Europe,"49.445236,13.998635",Y,,,,,,
1067,CRUISE TO FINISTERRE,"48.2260028,-4.8257143",,,,,,,
1068,Brest,"48.4084027,-4.5347057",,,,,,,
1069,"BIC ROAD, NF","48.449497,-68.890498",,,,,,,
1070,ISLE OF BEC,"48.449497,-68.890498",,,,,,,
1071,CRUISING OF USHANT,"48.4599451,-5.1219747",,,,,,,
1072,CRUISING OFF USHANT,"48.4599451,-5.1219747",,,,,,,
1073,USHANT,"48.4599451,-5.1219747",,,,,,,
1074,Morlaix,"48.5970736,-3.8564655",,,,,,,
1075,Saint-Malo,"48.6462766,-2.042236",,,,,,,
1076,Ile de Batz,"48.7474418,-4.0238996",,,,,,,
1077,YORK HARBOUR (NEWFOUNDLAND),"49.0790747,-58.360369",,,,,,,
1078,"YORK HARBOUR, NEWFOUNDLAND","49.0790747,-58.360369",,,,,,,
1079,CAEN,"49.1846225,-0.5124209",,,,,,,
1080,JERSEY,"49.2123288,-2.200961",,,,,,,
1081,COAL HARBOUR,"49.2890191,-123.1283157",,,,,,,
1082,HAVRE,"49.4958052,0.0960794",,,,,,,
1083,"ANTICOSTA ISLAND, NF","49.5059598,-63.658461",,,,,,,
1084,GUERNSEY,"49.5656151,-2.5601244",,,,,,,
1085,Guernsey,"49.5656151,-2.5601244",,,,,,,
1086,"ST PATRICK'S HOLE, NEWFOUNDLAND","49.5666661,-56.0008639",,,,,,,
1087,COASTAL ENGLISH CHANNEL,"49.7993334,-4.1228696",,,,,,,
1088,SCILLY,"49.9277049,-6.3977075",,,,,,,
1089,SCILLY ISLES,"49.9277049,-6.3977075",,,,,,,
1090,LIZARD,"49.9686092,-5.2129322",,,,,,,
1091,Lizzard,"49.9686092,-5.2129322",,,,,,,
1092,Cape Petit Mount,"5.0497839,-9.1387365",,,,,,,
1093,Elmina,"5.0955816,-1.3589575",,,,,,,
1094,Cape Coast Castle,"5.1036663,-1.2431686",,,,,,,
1095,CAPE COAST,"5.1321276,-1.2841667",,,,,,,
1096,Rio Assini,"5.1356973,-3.3231498",,Y,,,,,
1097,Cape Lahou,"5.1384553,-4.9882685",,,,,,,
1098,Quaqua,"5.1384553,-4.9882685",,,,,,,
1099,Anomabu,"5.1773921,-1.127311",,,,,,,
1100,Kormantine,"5.1924465,-1.0952645",,,,,,,
1101,Grand Bassam,"5.2198523,-3.7647058",,,,,,,
1102,Tantumquerry,"5.222659,-0.8154325",,,,,,,
1103,Berbice,"5.3658099,-58.4334076",,,,,,,
1104,WINNEBAH,"5.3662207,-0.64667",,,,,,,
1105,PENANG,"5.369903,100.1904715",,,,,,,
1106,PENANG (VIA FUNCHAL),"5.369903,100.1904715",,,,,,,
1107,PENANG VIA FUNCHAL AND TABLE BAY,"5.369903,100.1904715",,,,,,,
1108,PENANG VIA SIMONS BAY,"5.369903,100.1904715",,,,,,,
1109,PENANG VIA ST HELENA,"5.369903,100.1904715",,,,,,,
1110,PINANG,"5.369903,100.1904715",,,,,,,
1111,PRINCE OF WALES ISLAND,"5.369903,100.1904715",,,,,,,
1112,PRINCE OF WALES ISLAND (PENANG),"5.369903,100.1904715",,,,,,,
1113,PULO PINANG,"5.369903,100.1904715",,,,,,,
1114,Orinoko,"5.4554378,-67.2631254",,Y,,,,,
1115,Cess,"5.4651167,-9.5931029",,,,,,,
1116,Rock Sestos,"5.4651167,-9.5931029",,,,,,,
1117,Cape Corrientes,"5.4814708,-77.5474575",,,,,,,
1118,James Fort,"5.5335817,-0.2136195",,,,,,,
1119,ACHEAN,"5.5611009,95.2935972",,,,,,,
1120,ACHEAN HEAD,"5.5611009,95.2935972",,,,,,,
1121,ACHEAN ROAD,"5.5611009,95.2935972",,,,,,,
1122,ACHEEN,"5.5611009,95.2935972",,,,,,,
1123,ACHEEN (SUMATRA),"5.5611009,95.2935972",,,,,,,
1124,"ACHEEN HEAD, SUMATRA","5.5611009,95.2935972",,,,,,,
1125,ACHEEN ROAD (SUMATRA),"5.5611009,95.2935972",,,,,,,
1126,Achin,"5.5611009,95.2935972",,,,,,,
1127,aceh,"5.5611009,95.2935972",,,,,,,
1128,Meangis,"5.5833331,126.5745571",,,,,,,
1129,ACCRA,"5.5912045,-0.249941",,,,,,,
1130,Accra,"5.5912045,-0.249941",,,,,,,
1131,ACCRAH,"5.5912045,-0.249941",,,,,,,
1132,ACCRAW,"5.5912045,-0.249941",,,,,,,
1133,Achin Road,"5.684103,95.280054",,Y,,,,,
1134,Alampo,"5.7183932,0.1060222",,,,,,,
1135,Danish Gold Coast,"5.7597274,0.184493",,,,,,,
1136,DEMERARA,"5.7761298,-58.9567153",,,,,,,
1137,Demerara,"5.7761298,-58.9567153",,,,,,,
1138,Keta,"5.9038023,0.9633635",,,,,,,
1139,FALMOUTH,"50.1505355,-5.0920148",,,,,,,
1140,Falmouth (Eng.),"50.1505355,-5.0920148",,,,,,,
1141,FALMOUTH UK,"50.1505355,-5.0920148",,,,,,,
1142,CARRICK ROAD,"50.1799741,-5.0817131",,,,,,,
1143,RAMHEAD,"50.3166658,-4.2254429",,,,,,,
1144,THE RAMHEAD,"50.3166658,-4.2254429",,,,,,,
1145,FROWARD POINT (ENGLAND),"50.3367366,-3.5452731",,,,,,,
1146,Dartmouth,"50.3516278,-3.5818605",,,,,,,
1147,HAMMOZE,"50.3833324,-4.2008642",,,,,,,
1148,HAMMOZE (CRUISING),"50.3833324,-4.2008642",,,,,,,
1149,HAMMOZE UK,"50.3833324,-4.2008642",,,,,,,
1150,HAMOAZE,"50.3833324,-4.2008642",,,,,,,
1151,HAMOZE UK,"50.3833324,-4.2008642",,,,,,,
1152,"BARNPOOL, PLYMOUTH","50.3884231,-4.1827808",,,,,,,
1153,PLYMOUTH,"50.3884231,-4.1827808",,,,,,,
1154,Plymouth,"50.3884231,-4.1827808",,,,,,,
1155,PLYMOUTH - CRUISING WESTERN APPROACHES,"50.3884231,-4.1827808",,,,,,,
1156,PLYMOUTH (CRUISING WESTERN APPROACHES),"50.3884231,-4.1827808",,,,,,,
1157,PLYMOUTH (CRUISING),"50.3884231,-4.1827808",,,,,,,
1158,PLYMOUTH SOUND,"50.3884231,-4.1827808",,,,,,,
1159,PLYMOUTH UK,"50.3884231,-4.1827808",,,,,,,
1160,PLYMOUTH VIA ST HELENA,"50.3884231,-4.1827808",,,,,,,
1161,Plymouth,"50.3884231,-4.1827808",,,,,,,
1162,Asia,"50.4151565,64.2807778",Y,,,,,,
1163,TORBAY,"50.4459858,-3.6127653",,,,,,,
1164,TORBAY UK,"50.4459858,-3.6127653",,,,,,,
1165,Padstowe,"50.5385236,-4.9551322",,,,,,,
1166,PORTLAND,"50.5430126,-2.4746936",,,,,,,
1167,PORTLAND ENGLAND,"50.5430126,-2.4746936",,,,,,,
1168,DUNNOSE,"50.5999992,-1.1921095",,,,,,,
1169,DUNNOZE,"50.5999992,-1.1921095",,,,,,,
1170,WEYMOUTH,"50.6267188,-2.4929296",,,,,,,
1171,MOTHERBANK,"50.6710256,-1.4683301",,,,,,,
1172,Topsham,"50.6859952,-3.4758332",,,,,,,
1173,BEMBRIDGE,"50.6871861,-1.0914287",,,,,,,
1174,Poole,"50.7229591,-2.0081565",,,,,,,
1175,Exeter,"50.7244229,-3.5486526",,,,,,,
1176,Lyme,"50.7276313,-2.9504051",,,,,,,
1177,BEACHY HEAD,"50.7436481,0.2151737",,,,,,,
1178,Beachy Head,"50.7436481,0.2151737",,,,,,,
1179,SPIHEAD (CRUISING),"50.7484956,-1.1095552",,,,,,,
1180,SPITHEAD,"50.7484956,-1.1095552",,,,,,,
1181,SPITHEAD - CRUISING BAY BISCAY,"50.7484956,-1.1095552",,,,,,,
1182,SPITHEAD (VIA FYAL),"50.7484956,-1.1095552",,,,,,,
1183,COWES,"50.753622,-1.3278421",,,,,,,
1184,Cowes,"50.753622,-1.3278421",,,,,,,
1185,COWES RD,"50.753622,-1.3278421",,,,,,,
1186,COWES ROAD,"50.753622,-1.3278421",,,,,,,
1187,SOUTHSEA,"50.7903489,-1.0837369",,,,,,,
1188,Dorsetshire,"50.7965931,-2.6024871",,,,,,,
1189,PORTSMOUTH,"50.8047147,-1.166941",,,,,,,
1190,Portsmouth,"50.8047147,-1.166941",,,,,,,
1191,PORTSMOUTH (AFTER CRUISING TOWARDS FINISTERRE),"50.8047147,-1.166941",,,,,,,
1192,PORTSMOUTH HARBOUR,"50.8047147,-1.166941",,,,,,,
1193,"PORTSMOUTH, VIA ST HELENA","50.8047147,-1.166941",,,,,,,
1194,Sallagua,"50.8047147,-1.166941",,,,,,,
1195,Portsmouth,"50.8047147,-1.166941",,,,,,,
1196,Shoreham,"50.8373115,-0.2912071",,,,,,,
1197,DUNGENESS,"50.9166658,0.9745571",,,,,,,
1198,DUNGEONESS,"50.9166658,0.9745571",,,,,,,
1199,DUNGERNESS,"50.9166658,0.9745571",,,,,,,
1200,Sussex,"50.9591246,-0.5161399",,,,,,,
1201,"CROQUE, NEWFOUNDLAND","51.0583432,-55.8365532",,,,,,,
1202,DOVER,"51.1262831,1.2834368",,,,,,,
1203,Dover,"51.1262831,1.2834368",,,,,,,Y
1204,DOWNES,"51.2333324,1.5745571",,Y,,,,,
1205,DOWNS,"51.2333324,1.5745571",,Y,,,,,
1206,DOWNS (ENGLAND),"51.2333324,1.5745571",,Y,,,,,
1207,DOWNS UK,"51.2333324,1.5745571",,Y,,,,,
1208,DOWNS UK VIA ST HELENA,"51.2333324,1.5745571",,Y,,,,,
1209,DOWNS VIA ST HELENA,"51.2333324,1.5745571",,Y,,,,,
1210,THE DOWNES,"51.2333324,1.5745571",,Y,,,,,
1211,THE DOWNS,"51.2333324,1.5745571",,Y,,,,,
1212,"THE DOWNS, UK","51.2333324,1.5745571",,Y,,,,,
1213,Wiltshire,"51.323731,-2.2065202",,,,,,,
1214,Newbury,"51.3885288,-1.3610349",,,,,,,
1215,COCKHAM WOOD UK,"51.4144879,0.5013197",,,,,,,
1216,GRAVESEND,"51.4267821,0.3720522",,,,,,,
1217,GRAVESEND UK,"51.4267821,0.3720522",,,,,,,
1218,SHEERNESS,"51.4357773,0.7461669",,,,,,,
1219,SHERNESS,"51.4357773,0.7461669",,,,,,,
1220,CAPE CLEAR,"51.4368829,-9.5119128",,,,,,,
1221,NORTHFLEET,"51.441446,0.3198094",,,,,,,
1222,CROOKHAVEN,"51.4683997,-9.7348169",,,,,,,
1223,BRISSEL,"51.468468,-2.6609283",,,,,,,
1224,BRISSELL HARBOUR,"51.468468,-2.6609283",,,,,,,
1225,Bristol,"51.468468,-2.6609283",,,,,,,
1226,BRISTOL CHANNEL,"51.468468,-2.6609283",,,,,,,
1227,BRIZZLE HARBOUR,"51.468468,-2.6609283",,,,,,,
1228,Bristol,"51.468468,-2.6609283",,,,,,,
1229,DEPTFORD,"51.4779909,-0.0352609",,,,,,,
1230,Zeeland,"51.479091,3.5379687",,,,,,,
1231,WOOLWICH,"51.4843876,0.0502216",,,,,,,
1232,WOOLWICH UK,"51.4843876,0.0502216",,,,,,,
1233,NORE,"51.5039029,0.8169164",,,,,,,
1234,THE NORE,"51.5039029,0.8169164",,,,,,,
1235,Middelburg,"51.5050983,3.5825942",,,,,,,
1236,BLACKWALL,"51.507983,-0.0159719",,,,,,,
1237,BLACKWALL UK,"51.507983,-0.0159719",,,,,,,
1238,GALLIONS REACH (UK),"51.5166002,0.074",,,,,,,
1239,LONDON,"51.5285582,-0.2416807",,,,,,,
1240,London,"51.5285582,-0.2416807",,,,,,,
1241,Londontowne,"51.5285582,-0.2416807",,,,,,,
1242,London,"51.5285582,-0.2416807",,,,,,,
1243,River Thames,"51.5731435,-1.1710046",,Y,,,,,
1244,Thames,"51.5731435,-1.1710046",,Y,,,,,
1245,Newport,"51.5742958,-3.0143872",,,,,,,
1246,KINGSALE,"51.7055583,-8.5352652",,,,,,,
1247,KINSALE,"51.7055583,-8.5352652",,,,,,,
1248,KINSALE (EIRE),"51.7055583,-8.5352652",,,,,,,
1249,KINSALE ROAD,"51.7055583,-8.5352652",,,,,,,
1250,MILFORD HAVEN,"51.718394,-5.0489592",,,,,,,
1251,Milford Haven,"51.718394,-5.0489592",,,,,,,
1252,Colchester,"51.8861098,0.8685421",,,,,,,
1253,CORK,"51.8959998,-8.498155",,,,,,,
1254,Cork,"51.8959998,-8.498155",,,,,,,
1255,CORK (WESTERN APPROACHES),"51.8959998,-8.498155",,,,,,,
1256,Rotterdam,"51.9279652,4.4206173",,,,,,,
1257,"Netherlands, port unspecified","52.2076563,4.1557542",,,,,,,
1258,TOWARDS NETHERLANDS,"52.2076563,4.1557542",,,,,,,
1259,Holland,"52.2076563,4.1557542",,,,,,,
1260,WATERFORD,"52.2474997,-7.148135",,,,,,,
1261,Waterford,"52.2474997,-7.148135",,,,,,,
1262,Amsterdam,"52.3546448,4.8337496",,,,,,,
1263,ENGLAND,"52.396654,-0.814664",Y,,,,,,
1264,"England, port unspecified","52.396654,-0.814664",Y,,,,,,
1265,England,"52.396654,-0.814664",Y,,,,,,
1266,Wales,"52.4000049,-5.2835622",,,,,,,
1267,LOPS HEAD IRELAND,"52.5666658,-9.9437762",,,,,,,
1268,YARMOUTH,"52.5913111,1.6839177",,,,,,,
1269,Limerick,"52.6515098,-8.665245",,,,,,,
1270,RIVER SHANNON,"52.6515098,-8.665245",,,,,,,
1271,NEWFOUNDLAND,"52.7331437,-64.4022204",,,,,,,
1272,OFF NEWFOUNDLAND,"52.7331437,-64.4022204",,,,,,,
1273,Newfoundland,"52.7331437,-64.4022204",,,,,,,
1274,"Great Britain, port unspecified","52.7532189,-6.822218",Y,,,,,,
1275,PLYMOUTH (ENGLAND),"50.3884231,-4.1827808",,,,,,,
1276,START POINT ENGLAND,"52.7532189,-6.822218",,,,,,,
1277,START POINT UK,"52.7532189,-6.822218",Y,,,,,,
1278,Texel,"53.0729818,4.6381293",,,,,,,
1279,Chester,"53.1924838,-2.9229868",,,,,,,
1280,Dublin,"53.3242377,-6.386128",,,,,,,
1281,DUBLIN BAY,"53.3285577,-6.2104657",,,,,,,
1282,IERLAND,"53.3622901,-10.4651903",,,,,,,
1283,Liverpool River,"53.3806662,-2.9134767",,Y,,,,,
1284,LIVERPOOL,"53.4121568,-2.9862695",,,,,,,
1285,Liverpool,"53.4121568,-2.9862695",,,,,,,
1286,Hamburg,"53.5584898,9.7873977",,,,,,,
1287,SOUTHPORT,"53.6341525,-3.0372997",,,,,,,
1288,Hull,"53.7663656,-0.3670908",,,,,,,
1289,Preston,"53.7702509,-2.7322568",,,,,,,
1290,Poulton,"53.8435677,-3.0065286",,,,,,,
1291,Lancaster,"54.0441576,-2.8362481",,,,,,,
1292,UK,"54.300789,-2.721024",Y,,,,,,
1293,UK(?),"54.300789,-2.721024",Y,,,,,,
1294,united kingdom,"54.300789,-2.721024",Y,,,,,,
1295,united kingdom,"54.300789,-2.721024",Y,,,,,,
1296,Kendal,"54.326606,-2.7585992",,,,,,,
1297,WHITBY BAY UK,"54.4805742,-0.636857",,,,,,,
1298,Whitehaven,"54.5444328,-3.5952893",,,,,,,
1299,PORT MULGRAVE,"54.5467162,-0.7792212",,,,,,,
1300,Stockton,"54.5611044,-1.3651407",,,,,,,
