***	O
often	O
went	O
on	O
shore	O
on	O
the	O
same	O
pretence	O
;	O
but	O
our	O
supercargo	O
,	O
who	O
understood	O
his	O
business	O
too	O
well	O
not	O
to	O
make	O
use	O
of	O
the	O
occasion	O
,	O
presently	O
let	O
the	O
Spaniards	O
see	O
that	O
he	O
had	O
a	O
great	O
cargo	O
of	O
goods	O
to	O
dispose	O
of	O
;	O
they	O
as	O
freely	O
took	O
the	O
hint	O
,	O
and	O
let	O
him	O
know	O
that	O
they	O
had	O
money	O
enough	O
to	O
pay	O
for	O
whatever	O
they	O
bought	O
;	O
so	O
they	O
fell	O
to	O
work	O
,	O
and	O
they	O
bought	O
East	O
India	PNM
and	O
China	PNM
silks	O
,	O
Japan	PNM
ware	O
,	O
China	PNM
ware	O
,	O
spice	O
,	O
and	O
something	O
of	O
everything	O
we	O
had	O
.	O

We	O
knew	O
we	O
should	O
not	O
sell	O
all	O
our	O
cargo	O
here	O
;	O
nor	O
any	O
extraordinary	O
quantity	O
;	O
but	O
we	O
knew	O
,	O
on	O
the	O
other	O
hand	O
,	O
that	O
,	O
what	O
we	O
did	O
sell	O
here	O
,	O
we	O
should	O
sell	O
for	O
100	O
_	O
l.	O
_	O
per	O
cent	O
.	O

extraordinary	O
,	O
I	O
mean	O
more	O
than	O
we	O
should	O
sell	O
for	O
at	O
Lima	PNM
,	PNM
or	O
any	O
other	O
ports	O
on	O
that	O
side	O
,	O
and	O
so	O
we	O
did	O
;	O
for	O
here	O
we	O
sold	O
a	O
bottle	O
of	O
arrack	O
for	O
four	O
pieces	O
of	O
eight	O
,	O
a	O
pound	O
of	O
cloves	O
for	O
five	O
pieces	O
of	O
eight	O
,	O
and	O
a	O
pound	O
of	O
nutmegs	O
for	O
six	O
pieces	O
of	O
eight	O
;	O
and	O
the	O
like	O
of	O
other	O
things	O
.	O

They	O
would	O
gladly	O
have	O
purchased	O
some	O
European	O
goods	O
,	O
and	O
especially	O
English	O
cloth	O
and	O
baize	O
;	O
but	O
as	O
we	O
had	O
indeed	O
very	O
few	O
such	O
things	O
left	O
,	O
so	O
we	O
were	O
not	O
willing	O
they	O
should	O
see	O
them	O
,	O
that	O
they	O
might	O
not	O
have	O
any	O
suspicion	O
of	O
our	O
being	O
Englishmen	O
,	O
and	O
English	O
ships	O
,	O
which	O
would	O
soon	O
have	O
put	O
an	O
end	O
to	O
all	O
our	O
commerce	O
.	O

While	O
we	O
lay	O
here	O
trafficking	O
with	O
the	O
Spaniards	O
,	O
I	O
set	O
some	O
of	O
my	O
men	O
to	O
work	O
to	O
converse	O
among	O
the	O
native	O
Chilians	O
,	O
or	O
Indians	O
,	O
as	O
we	O
call	O
them	O
,	O
of	O
the	O
country	O
,	O
and	O
several	O
things	O
they	O
learned	O
of	O
them	O
,	O
according	O
to	O
the	O
instructions	O
which	O
I	O
gave	O
them	O
;	O
for	O
example	O
,	O
first	O
,	O
I	O
understood	O
by	O
them	O
that	O
the	O
country	O
people	O
,	O
who	O
do	O
not	O
live	O
among	O
the	O
Spaniards	O
,	O
have	O
a	O
mortal	O
aversion	O
to	O
them	O
;	O
that	O
it	O
is	O
rivetted	O
in	O
their	O
minds	O
by	O
tradition	O
from	O
father	O
to	O
son	O
,	O
ever	O
since	O
the	O
wars	O
which	O
had	O
formerly	O
been	O
among	O
them	O
,	O
and	O
that	O
though	O
they	O
did	O
not	O
now	O
carry	O
on	O
those	O
wars	O
,	O
yet	O
the	O
animosity	O
remained	O
;	O
and	O
the	O
pride	O
and	O
cruel	O
haughty	O
temper	O
of	O
the	O
Spaniards	O
were	O
such	O
still	O
to	O
those	O
of	O
the	O
country	O
people	O
who	O
came	O
under	O
their	O
government	O
,	O
as	O
make	O
that	O
aversion	O
continually	O
increase	O
.	O

They	O
let	O
us	O
know	O
,	O
that	O
if	O
any	O
nation	O
in	O
the	O
world	O
would	O
but	O
come	O
in	O
and	O
assist	O
them	O
against	O
the	O
Spaniards	O
,	O
and	O
support	O
them	O
in	O
their	O
rising	O
against	O
them	O
,	O
they	O
would	O
soon	O
rid	O
their	O
hands	O
of	O
the	O
whole	O
nation	O
.	O

This	O
was	O
to	O
the	O
purpose	O
exactly	O
,	O
as	O
to	O
what	O
I	O
wanted	O
to	O
know	O
.	O

I	O
then	O
ordered	O
particular	O
inquiry	O
to	O
be	O
made	O
,	O
whether	O
the	O
mountains	O
of	O
Andes	O
,	O
which	O
are	O
indeed	O
prodigious	O
to	O
look	O
at	O
,	O
and	O
so	O
frightful	O
for	O
their	O
height	O
,	O
that	O
it	O
is	O
not	O
to	O
be	O
thought	O
of	O
without	O
some	O
horror	O
,	O
were	O
in	O
any	O
places	O
passable	O
?	O

what	O
country	O
there	O
was	O
beyond	O
them	O
?	O

and	O
whether	O
any	O
of	O
their	O
people	O
had	O
gone	O
,	O
over	O
and	O
knew	O
the	O
passages	O
?	O

The	O
Indians	O
concurred	O
with	O
the	O
Spaniards	O
in	O
this	O
-LRB-	O
for	O
our	O
men	O
inquired	O
of	O
both	O
-RRB-	O
,	O
that	O
though	O
the	O
Andes	O
were	O
to	O
be	O
supposed	O
,	O
indeed	O
,	O
to	O
be	O
the	O
highest	O
mountains	O
in	O
the	O
world	O
,	O
and	O
that	O
,	O
generally	O
speaking	O
,	O
they	O
were	O
impassable	O
,	O
yet	O
that	O
there	O
had	O
been	O
passages	O
found	O
by	O
the	O
vales	O
among	O
the	O
mountains	O
;	O
where	O
,	O
with	O
fetching	O
several	O
compasses	O
and	O
windings	O
partly	O
on	O
the	O
hills	O
,	O
and	O
partly	O
in	O
the	O
valleys	O
,	O
men	O
went	O
with	O
a	O
great	O
deal	O
of	O
ease	O
and	O
safety	O
quite	O
through	O
or	O
over	O
,	O
call	O
it	O
as	O
we	O
will	O
,	O
to	O
the	O
other	O
,	O
named	O
the	O
east	O
side	O
,	O
and	O
as	O
often	O
returned	O
again	O
.	O

Some	O
of	O
the	O
more	O
knowing	O
Indians	O
or	O
Chilians	O
went	O
farther	O
than	O
this	O
,	O
and	O
when	O
our	O
men	O
inquired	O
after	O
the	O
manners	O
,	O
situation	O
,	O
and	O
produce	O
of	O
the	O
country	O
on	O
the	O
other	O
side	O
,	O
they	O
told	O
them	O
,	O
that	O
when	O
they	O
passed	O
the	O
mountains	O
from	O
that	O
part	O
of	O
the	O
country	O
,	O
they	O
went	O
chiefly	O
to	O
fetch	O
cattle	O
and	O
kill	O
deer	O
,	O
of	O
which	O
there	O
were	O
great	O
numbers	O
in	O
that	O
part	O
of	O
the	O
land	O
;	O
but	O
that	O
when	O
they	O
went	O
from	O
St.	PNM
Jago	PNM
they	O
turned	O
away	O
north	O
some	O
leagues	O
,	O
when	O
they	O
came	O
to	O
a	O
town	O
called	O
St.	PNM
Anthonio	PNM
de	PNM
los	O
Vejos	O
,	O
or	O
,	O
the	O
town	O
of	O
St.	PNM
Anthony	PNM
and	O
the	O
Old	O
Men	O
;	O
that	O
there	O
was	O
a	O
great	O
river	O
at	O
that	O
city	O
,	O
from	O
whence	O
they	O
found	O
means	O
to	O
go	O
down	O
to	O
the	O
Rio	PNM
de	PNM
la	PNM
Plata	PNM
,	O
and	O
so	O
to	O
the	O
Buenos	PNM
Ayres	PNM
,	O
and	O
that	O
they	O
frequently	O
carried	O
thither	O
great	O
sums	O
of	O
money	O
in	O
Chilian	O
gold	O
,	O
and	O
brought	O
back	O
European	O
goods	O
from	O
thence	O
.	O

I	O
had	O
all	O
I	O
wanted	O
now	O
,	O
and	O
bade	O
my	O
men	O
say	O
no	O
more	O
to	O
them	O
on	O
that	O
subject	O
,	O
and	O
only	O
to	O
tell	O
them	O
,	O
that	O
they	O
would	O
come	O
back	O
and	O
travel	O
a	O
little	O
that	O
way	O
to	O
see	O
the	O
country	O
.	O

The	O
people	O
appeared	O
very	O
well	O
pleased	O
with	O
this	O
intelligence	O
,	O
and	O
answered	O
,	O
that	O
if	O
they	O
would	O
do	O
so	O
,	O
they	O
should	O
find	O
some	O
,	O
as	O
well	O
Spaniards	O
as	O
Chilians	O
,	O
who	O
would	O
be	O
guides	O
to	O
them	O
through	O
the	O
hills	O
;	O
also	O
assuring	O
them	O
,	O
that	O
they	O
would	O
find	O
the	O
hills	O
very	O
practicable	O
,	O
and	O
the	O
people	O
as	O
they	O
went	O
along	O
very	O
ready	O
to	O
assist	O
and	O
furnish	O
them	O
with	O
whatever	O
they	O
found	O
they	O
wanted	O
,	O
especially	O
if	O
they	O
come	O
to	O
know	O
that	O
they	O
were	O
not	O
Spaniards	O
,	O
or	O
that	O
they	O
would	O
protect	O
them	O
from	O
the	O
Spaniards	O
,	O
which	O
would	O
be	O
the	O
most	O
agreeable	O
thing	O
to	O
them	O
in	O
the	O
world	O
;	O
for	O
it	O
seems	O
many	O
of	O
the	O
nations	O
of	O
the	O
Chilians	O
had	O
been	O
driven	O
to	O
live	O
among	O
the	O
hills	O
,	O
and	O
some	O
even	O
beyond	O
them	O
,	O
to	O
avoid	O
the	O
cruelty	O
and	O
tyranny	O
of	O
the	O
Spaniards	O
,	O
especially	O
in	O
the	O
beginning	O
of	O
their	O
planting	O
in	O
that	O
country	O
.	O

The	O
next	O
inquiry	O
I	O
ordered	O
them	O
to	O
make	O
was	O
,	O
whether	O
it	O
was	O
possible	O
to	O
pass	O
those	O
hills	O
with	O
horses	O
or	O
mules	O
,	O
or	O
any	O
kind	O
of	O
carriages	O
?	O

and	O
they	O
assured	O
them	O
,	O
they	O
might	O
travel	O
with	O
mules	O
,	O
and	O
even	O
with	O
horses	O
also	O
,	O
but	O
rather	O
with	O
mules	O
;	O
but	O
as	O
to	O
carriages	O
,	O
such	O
as	O
carts	O
or	O
waggons	O
,	O
they	O
allowed	O
that	O
was	O
not	O
practicable	O
.	O

They	O
assured	O
us	O
,	O
that	O
some	O
of	O
those	O
ways	O
through	O
the	O
hills	O
were	O
much	O
frequented	O
,	O
and	O
that	O
there	O
were	O
towns	O
,	O
or	O
villages	O
rather	O
,	O
of	O
people	O
to	O
be	O
found	O
in	O
the	O
valleys	O
between	O
the	O
said	O
hills	O
;	O
some	O
of	O
which	O
villages	O
were	O
very	O
large	O
,	O
and	O
the	O
soil	O
very	O
rich	O
and	O
fruitful	O
,	O
bearing	O
sufficient	O
provisions	O
for	O
the	O
inhabitants	O
,	O
who	O
were	O
very	O
numerous	O
.	O

They	O
added	O
,	O
that	O
the	O
people	O
were	O
not	O
much	O
inclined	O
to	O
live	O
in	O
towns	O
as	O
the	O
Spaniards	O
do	O
,	O
but	O
that	O
they	O
lived	O
scattered	O
up	O
and	O
down	O
the	O
country	O
,	O
as	O
they	O
were	O
guided	O
by	O
the	O
goodness	O
of	O
the	O
land	O
;	O
that	O
they	O
lived	O
very	O
secure	O
and	O
unguarded	O
,	O
never	O
offering	O
any	O
injury	O
to	O
one	O
another	O
,	O
nor	O
fearing	O
injury	O
from	O
any	O
but	O
the	O
Spaniards	O
.	O

I	O
caused	O
these	O
inquiries	O
to	O
be	O
made	O
with	O
the	O
utmost	O
prudence	O
and	O
caution	O
,	O
so	O
that	O
the	O
Spaniards	O
had	O
not	O
the	O
least	O
suspicion	O
of	O
our	O
design	O
;	O
and	O
thus	O
,	O
having	O
finished	O
our	O
traffick	O
,	O
and	O
taken	O
in	O
water	O
and	O
provisions	O
,	O
we	O
sailed	O
from	O
Baldivia	PNM
,	O
having	O
settled	O
a	O
little	O
correspondence	O
there	O
with	O
two	O
Spaniards	O
,	O
who	O
were	O
very	O
faithful	O
to	O
us	O
,	O
and	O
with	O
two	O
Chilian	O
Indians	O
,	O
whom	O
we	O
had	O
in	O
a	O
particular	O
manner	O
engaged	O
,	O
and	O
whom	O
,	O
to	O
make	O
sure	O
of	O
,	O
we	O
took	O
along	O
with	O
us	O
;	O
and	O
having	O
spent	O
about	O
thirteen	O
days	O
here	O
,	O
and	O
taken	O
the	O
value	O
of	O
about	O
six	O
thousand	O
pieces	O
of	O
eight	O
in	O
silver	O
and	O
gold	O
,	O
but	O
most	O
of	O
it	O
in	O
gold	O
,	O
we	O
set	O
sail	O
.	O

Our	O
next	O
port	O
was	O
the	O
Bay	O
of	O
the	O
Conception	O
;	O
here	O
,	O
having	O
two	O
or	O
three	O
men	O
on	O
board	O
who	O
were	O
well	O
acquainted	O
with	O
the	O
coast	O
,	O
we	O
ran	O
boldly	O
into	O
the	O
bay	O
,	O
and	O
came	O
to	O
an	O
anchor	O
in	O
that	O
which	O
they	O
call	O
the	O
Bite	O
,	O
or	O
little	O
bay	O
,	O
under	O
the	O
island	O
Quinquina	PNM
;	O
and	O
from	O
thence	O
we	O
sent	O
our	O
boat	O
,	O
with	O
French	O
mariners	O
to	O
row	O
,	O
and	O
a	O
French	O
cockswain	O
,	O
with	O
a	O
letter	O
to	O
the	O
Spanish	O
governor	O
,	O
from	O
Captain	O
Merlotte	O
.	O

Our	O
pretence	O
was	O
always	O
the	O
same	O
as	O
before	O
,	O
that	O
we	O
had	O
his	O
most	O
Christian	O
majesty	O
's	O
commission	O
,	O
&	O
c.	O
,	O
and	O
that	O
we	O
desired	O
liberty	O
to	O
wood	O
and	O
water	O
,	O
and	O
to	O
buy	O
provisions	O
,	O
having	O
been	O
a	O
very	O
long	O
voyage	O
,	O
and	O
the	O
like	O
.	O

Under	O
these	O
pretences	O
,	O
we	O
lay	O
here	O
about	O
ten	O
days	O
,	O
and	O
drove	O
a	O
very	O
considerable	O
trade	O
for	O
such	O
goods	O
as	O
we	O
were	O
sure	O
they	O
wanted	O
;	O
and	O
having	O
taken	O
about	O
the	O
value	O
of	O
eight	O
thousand	O
pieces	O
of	O
eight	O
,	O
we	O
set	O
sail	O
for	O
the	O
port	O
or	O
river	O
that	O
goes	O
up	O
to	O
St.	PNM
Jago	PNM
,	O
where	O
we	O
expected	O
a	O
very	O
good	O
market	O
,	O
being	O
distant	O
from	O
the	O
Conception	O
about	O
sixty-five	O
leagues	O
.	O

St.	PNM
Jago	PNM
is	O
the	O
capital	O
city	O
of	O
Chili	PNM
,	O
and	O
stands	O
twelve	O
leagues	O
within	O
the	O
land	O
;	O
there	O
are	O
two	O
ports	O
,	O
which	O
are	O
made	O
use	O
of	O
to	O
carry	O
on	O
the	O
traffic	O
of	O
this	O
place	O
,	O
viz.	O
,	O
R.	PNM
de	PNM
Ropocalmo	PNM
,	O
and	O
port	PNM
de	PNM
Valparaiso	PNM
.	O

We	O
were	O
bound	O
to	O
the	O
last	O
,	O
as	O
being	O
the	O
only	O
port	O
for	O
ships	O
of	O
burden	O
,	O
and	O
where	O
there	O
is	O
security	O
from	O
bad	O
weather	O
.	O

We	O
found	O
means	O
here	O
,	O
without	O
going	O
up	O
to	O
the	O
city	O
of	O
St.	PNM
Jago	PNM
,	O
to	O
have	O
merchants	O
enough	O
to	O
come	O
down	O
to	O
us	O
;	O
for	O
this	O
being	O
a	O
very	O
rich	O
city	O
,	O
and	O
full	O
of	O
money	O
,	O
we	O
found	O
all	O
our	O
valuable	O
silks	O
of	O
China	PNM
,	O
our	O
atlases	O
,	O
China	PNM
damasks	O
,	O
satins	O
,	O
&	O
c.	O
,	O
were	O
very	O
much	O
valued	O
,	O
and	O
very	O
much	O
wanted	O
,	O
and	O
no	O
price	O
was	O
too	O
high	O
for	O
us	O
to	O
ask	O
for	O
them	O
.	O

For	O
,	O
in	O
a	O
word	O
,	O
the	O
Spanish	O
ladies	O
,	O
who	O
,	O
for	O
pride	O
,	O
do	O
not	O
come	O
behind	O
any	O
in	O
the	O
world	O
,	O
whatever	O
they	O
do	O
for	O
beauty	O
,	O
were	O
so	O
eager	O
for	O
those	O
fine	O
things	O
,	O
that	O
almost	O
any	O
reasonable	O
quantity	O
might	O
have	O
been	O
sold	O
there	O
;	O
but	O
the	O
truth	O
is	O
,	O
we	O
had	O
an	O
unreasonable	O
quantity	O
,	O
and	O
therefore	O
,	O
as	O
we	O
had	O
other	O
markets	O
to	O
go	O
to	O
,	O
we	O
did	O
not	O
let	O
them	O
know	O
what	O
a	O
great	O
stock	O
of	O
goods	O
we	O
had	O
,	O
but	O
took	O
care	O
they	O
had	O
something	O
of	O
everything	O
they	O
wanted	O
.	O

We	O
likewise	O
found	O
our	O
spices	O
were	O
an	O
excellent	O
commodity	O
in	O
those	O
parts	O
,	O
and	O
sold	O
for	O
a	O
great	O
profit	O
too	O
,	O
as	O
indeed	O
everything	O
else	O
did	O
,	O
as	O
is	O
said	O
above	O
.	O

We	O
found	O
it	O
very	O
easy	O
to	O
sell	O
here	O
to	O
the	O
value	O
of	O
one	O
hundred	O
and	O
thirty	O
thousand	O
pieces	O
of	O
eight	O
,	O
in	O
all	O
sorts	O
of	O
China	PNM
and	O
East-India	O
goods	O
;	O
for	O
still	O
,	O
though	O
we	O
had	O
some	O
of	O
the	O
English	O
cargo	O
loose	O
,	O
we	O
let	O
none	O
of	O
it	O
be	O
seen	O
.	O

We	O
took	O
most	O
of	O
the	O
money	O
in	O
gold	O
uncoined	O
,	O
which	O
is	O
got	O
out	O
of	O
the	O
mountains	O
in	O
great	O
quantities	O
,	O
and	O
of	O
which	O
we	O
shall	O
have	O
occasion	O
to	O
speak	O
more	O
hereafter	O
.	O

Our	O
next	O
trading	O
port	O
was	O
Coquimbo	O
,	O
a	O
small	O
town	O
but	O
a	O
good	O
port	O
.	O

Here	O
we	O
went	O
in	O
without	O
ceremony	O
,	O
and	O
upon	O
the	O
same	O
foot	O
,	O
of	O
being	O
French	O
,	O
we	O
were	O
well	O
received	O
,	O
traded	O
underhand	O
with	O
the	O
Spanish	O
merchants	O
,	O
and	O
got	O
letters	O
to	O
some	O
other	O
merchants	O
at	O
Guasco	PNM
,	O
a	O
port	O
in	O
a	O
little	O
bay	O
about	O
fifteen	O
leagues	O
north	O
from	O
Coquimbo	PNM
.	O

From	O
hence	O
to	O
the	O
port	O
of	O
Copiapo	PNM
,	O
is	O
twenty-five	O
leagues	O
.	O

Here	O
we	O
found	O
a	O
very	O
good	O
port	O
,	O
though	O
no	O
trading	O
town	O
or	O
city	O
;	O
but	O
the	O
country	O
being	O
well	O
inhabited	O
,	O
we	O
found	O
means	O
to	O
acquaint	O
some	O
of	O
the	O
principal	O
Spaniards	O
in	O
the	O
country	O
of	O
what	O
we	O
were	O
,	O
and	O
-LRB-	O
with	O
which	O
they	O
were	O
pleased	O
well	O
enough	O
-RRB-	O
that	O
they	O
might	O
trade	O
with	O
us	O
for	O
such	O
things	O
,	O
which	O
it	O
was	O
easy	O
to	O
see	O
they	O
gave	O
double	O
price	O
for	O
to	O
the	O
merchants	O
who	O
came	O
from	O
Lima	PNM
,	O
and	O
other	O
places	O
.	O

This	O
brought	O
them	O
to	O
us	O
with	O
so	O
much	O
eagerness	O
,	O
that	O
though	O
they	O
bought	O
for	O
their	O
own	O
use	O
,	O
not	O
for	O
sale	O
,	O
yet	O
they	O
came	O
furnished	O
with	O
orders	O
,	O
perhaps	O
for	O
two	O
or	O
three	O
families	O
together	O
,	O
and	O
being	O
generally	O
rich	O
,	O
would	O
frequently	O
lay	O
out	O
six	O
hundred	O
or	O
eight	O
hundred	O
pieces	O
of	O
eight	O
a	O
man	O
;	O
so	O
that	O
we	O
had	O
a	O
most	O
excellent	O
market	O
here	O
,	O
and	O
took	O
above	O
thirty	O
thousand	O
pieces	O
of	O
eight	O
;	O
that	O
is	O
to	O
say	O
,	O
the	O
value	O
of	O
it	O
,	O
for	O
they	O
still	O
paid	O
all	O
in	O
gold	O
.	O

Here	O
we	O
had	O
opportunity	O
to	O
get	O
a	O
quantity	O
of	O
good	O
flour	O
,	O
or	O
wheat	O
meal	O
,	O
of	O
very	O
good	O
European	O
wheat	O
,	O
that	O
is	O
to	O
say	O
,	O
of	O
that	O
sort	O
of	O
wheat	O
;	O
and	O
withal	O
,	O
had	O
good	O
biscuit	O
baked	O
on	O
shore	O
,	O
so	O
that	O
now	O
we	O
got	O
a	O
large	O
recruit	O
of	O
bread	O
,	O
and	O
our	O
men	O
began	O
to	O
make	O
puddings	O
,	O
and	O
lived	O
very	O
comfortably	O
.	O

We	O
likewise	O
got	O
good	O
sugar	O
at	O
the	O
ingenioes	O
,	O
or	O
sugar-mills	O
,	O
of	O
which	O
there	O
were	O
several	O
here	O
,	O
and	O
the	O
farther	O
north	O
we	O
went	O
their	O
number	O
increased	O
,	O
for	O
we	O
were	O
now	O
in	O
the	O
latitude	O
of	O
28	O
°	O
2	O
'	O
south	O
.	O

We	O
had	O
but	O
one	O
port	O
now	O
of	O
any	O
consequence	O
that	O
we	O
intended	O
to	O
touch	O
at	O
,	O
until	O
we	O
came	O
to	O
the	O
main	O
place	O
we	O
aimed	O
at	O
,	O
which	O
was	O
Lima	PNM
,	O
and	O
this	O
was	O
about	O
two-thirds	O
of	O
the	O
way	O
thither	O
;	O
I	O
mean	O
Porto	O
Rica	O
,	O
or	O
Arica	PNM
,	O
which	O
is	O
in	O
the	O
latitude	O
of	O
18	O
°	O
of	O
thereabouts	O
.	O

The	O
people	O
were	O
very	O
shy	O
of	O
us	O
here	O
,	O
as	O
having	O
been	O
much	O
upon	O
their	O
guard	O
for	O
some	O
years	O
past	O
,	O
for	O
fear	O
of	O
buccaneers	O
and	O
English	O
privateers	O
:	O
but	O
when	O
they	O
understood	O
we	O
were	O
French	O
,	O
and	O
our	O
French	O
captain	O
sent	O
two	O
recommendations	O
to	O
them	O
from	O
a	O
merchant	O
at	O
St.	PNM
Jago	PNM
,	O
they	O
were	O
then	O
very	O
well	O
satisfied	O
,	O
and	O
we	O
had	O
full	O
freedom	O
of	O
commerce	O
here	O
also	O
.	O

From	O
hence	O
we	O
came	O
the	O
height	O
of	O
Lima	PNM
,	O
the	O
capital	O
port	O
,	O
if	O
not	O
the	O
capital	O
city	O
,	O
of	O
Peru	PNM
,	O
lying	O
in	O
the	O
latitude	O
of	O
12	O
°	O
30	O
'	O
.	O

Had	O
we	O
made	O
the	O
least	O
pretence	O
of	O
trading	O
here	O
,	O
we	O
should	O
,	O
at	O
least	O
,	O
have	O
had	O
soldiers	O
put	O
on	O
board	O
our	O
ships	O
to	O
have	O
prevented	O
it	O
,	O
and	O
the	O
people	O
would	O
have	O
been	O
forbidden	O
to	O
trade	O
with	O
us	O
upon	O
pain	O
of	O
death	O
.	O

But	O
Captain	O
Merlotte	O
having	O
brought	O
letters	O
to	O
a	O
principal	O
merchant	O
of	O
Lima	PNM
,	O
he	O
instructed	O
him	O
how	O
to	O
manage	O
himself	O
at	O
his	O
first	O
coming	O
into	O
that	O
port	O
;	O
which	O
was	O
to	O
ride	O
without	O
the	O
town	O
of	O
Callao	PNM
,	O
out	O
of	O
the	O
command	O
of	O
the	O
puntals	O
or	O
castles	O
there	O
,	O
and	O
not	O
to	O
come	O
any	O
nearer	O
,	O
upon	O
what	O
occasion	O
soever	O
,	O
and	O
then	O
to	O
leave	O
the	O
rest	O
to	O
him	O
.	O

Upon	O
this	O
,	O
the	O
merchant	O
applied	O
himself	O
to	O
the	O
governor	O
for	O
leave	O
to	O
go	O
on	O
board	O
the	O
French	O
ship	O
at	O
Callao	PNM
;	O
but	O
the	O
governor	O
understood	O
him	O
,	O
and	O
would	O
not	O
grant	O
it	O
by	O
any	O
means	O
.	O

The	O
reason	O
was	O
,	O
because	O
there	O
had	O
been	O
such	O
a	O
general	O
complaint	O
by	O
the	O
merchants	O
from	O
Carthagena	PNM
,	PNM
Porto	PNM
Bello	PNM
,	O
and	O
other	O
places	O
,	O
of	O
the	O
great	O
trade	O
carried	O
on	O
here	O
with	O
French	O
ships	O
from	O
Europe	PNM
,	O
to	O
the	O
destruction	O
of	O
the	O
merchants	O
,	O
and	O
to	O
the	O
ruin	O
of	O
the	O
trade	O
of	O
the	O
galleons	O
,	O
that	O
the	O
governor	O
,	O
or	O
viceroy	O
of	O
Peru	PNM
,	O
had	O
forbid	O
the	O
French	O
ships	O
landing	O
any	O
goods	O
.	O

Now	O
,	O
though	O
this	O
made	O
our	O
traffick	O
impracticable	O
at	O
Lima	PNM
itself	O
,	O
yet	O
it	O
did	O
by	O
no	O
means	O
hinder	O
the	O
merchants	O
trading	O
with	O
us	O
under	O
cover	O
,	O
&	O
c.	O
,	O
but	O
especially	O
when	O
they	O
came	O
to	O
understand	O
that	O
we	O
were	O
not	O
loaden	O
from	O
Europe	PNM
with	O
baize	O
,	O
long	O
ells	O
,	O
druggets	O
,	O
broadcloth	O
,	O
serges	O
,	O
stuffs	O
,	O
stockings	O
,	O
hats	O
,	O
and	O
such	O
like	O
woollen	O
manufactures	O
of	O
France	PNM
,	O
England	PNM
,	O
&	O
c.	O
;	O
but	O
that	O
our	O
cargo	O
was	O
the	O
same	O
with	O
that	O
of	O
the	O
Manilla	O
ships	O
at	O
Acapulca	PNM
,	O
and	O
that	O
we	O
were	O
loaden	O
with	O
calicoes	O
,	O
muslins	O
,	O
fine-wrought	O
China	PNM
silks	O
,	O
damasks	O
,	O
Japan	PNM
wares	O
,	O
China	PNM
wares	O
,	O
spices	O
,	O
&	O
c.	O
,	O
there	O
was	O
then	O
no	O
withholding	O
them	O
:	O
but	O
they	O
came	O
on	O
board	O
us	O
in	O
the	O
night	O
with	O
canoes	O
,	O
and	O
,	O
staying	O
all	O
day	O
,	O
went	O
on	O
shore	O
again	O
in	O
the	O
night	O
,	O
carrying	O
their	O
goods	O
to	O
different	O
places	O
,	O
where	O
they	O
knew	O
they	O
could	O
convey	O
them	O
on	O
shore	O
without	O
difficulty	O
.	O

In	O
this	O
manner	O
we	O
traded	O
publicly	O
enough	O
,	O
not	O
much	O
unlike	O
the	O
manner	O
of	O
our	O
trade	O
at	O
the	O
Manillas	O
;	O
and	O
here	O
we	O
effectually	O
cleared	O
ourselves	O
of	O
our	O
whole	O
cargo	O
,	O
as	O
well	O
English	O
goods	O
as	O
Indian	O
,	O
to	O
an	O
immense	O
sum	O
.	O

Here	O
our	O
men	O
,	O
officers	O
as	O
well	O
as	O
seamen	O
,	O
sold	O
their	O
fine	O
pearl	O
,	O
particularly	O
one	O
large	O
parcel	O
,	O
containing	O
one	O
hundred	O
and	O
seventy-three	O
very	O
fine	O
pearls	O
,	O
but	O
of	O
different	O
sizes	O
,	O
which	O
a	O
priest	O
bought	O
,	O
as	O
we	O
are	O
told	O
,	O
to	O
dress	O
up	O
the	O
image	O
of	O
the	O
blessed	O
Virgin	O
Mary	O
in	O
one	O
of	O
their	O
churches	O
.	O

In	O
a	O
word	O
,	O
we	O
came	O
to	O
a	O
balance	O
here	O
,	O
for	O
we	O
sold	O
everything	O
that	O
we	O
had	O
the	O
least	O
intention	O
to	O
part	O
with	O
;	O
the	O
chief	O
things	O
we	O
kept	O
in	O
reserve	O
,	O
were	O
some	O
bales	O
of	O
English	O
goods	O
,	O
also	O
all	O
the	O
remainder	O
of	O
our	O
beads	O
and	O
bugles	O
,	O
toys	O
,	O
ironwork	O
,	O
knives	O
,	O
scissors	O
,	O
hatchets	O
,	O
needles	O
,	O
pins	O
,	O
glass-ware	O
,	O
and	O
such	O
things	O
as	O
we	O
knew	O
the	O
Spaniards	O
did	O
not	O
regard	O
,	O
and	O
which	O
might	O
be	O
useful	O
in	O
our	O
farther	O
designs	O
,	O
of	O
which	O
my	O
head	O
was	O
yet	O
very	O
full	O
.	O

Those	O
,	O
I	O
say	O
,	O
we	O
kept	O
still	O
.	O

Here	O
,	O
likewise	O
,	O
we	O
sold	O
our	O
brigantine	O
,	O
which	O
,	O
though	O
an	O
excellent	O
sea-boat	O
,	O
as	O
may	O
well	O
be	O
supposed	O
,	O
considering	O
the	O
long	O
voyage	O
we	O
had	O
made	O
in	O
her	O
,	O
was	O
yet	O
so	O
worm-eaten	O
in	O
her	O
bottom	O
,	O
that	O
